loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.06383424997329712,0.16820138692855835,0.04922749102115631,0.1316082924604416,0.2644656002521515,0.11730822175741196,0.0005000000237487257
0.06402890384197235,0.16938196122646332,0.04946577548980713,0.14035268127918243,0.2734590172767639,0.12558308243751526,0.0005000000237487257
0.0630970373749733,0.16777385771274567,0.04849999397993088,0.1283407360315323,0.26095467805862427,0.1139969527721405,0.0005000000237487257
0.06210669130086899,0.16634000837802887,0.0478396937251091,0.1299794614315033,0.2686123251914978,0.11596159636974335,0.0005000000237487257
0.062316812574863434,0.16719375550746918,0.048127636313438416,0.15362991392612457,0.296663373708725,0.13949163258075714,0.0005000000237487257
0.06215343996882439,0.1666773110628128,0.04804418981075287,0.1296597570180893,0.26213619112968445,0.11569830030202866,0.0005000000237487257
0.058807384222745895,0.16126291453838348,0.04531079903244972,0.14352935552597046,0.2867714464664459,0.13045775890350342,0.0002500000118743628
0.0580015555024147,0.16101111471652985,0.04512455314397812,0.13805778324604034,0.2770804762840271,0.12541325390338898,0.0002500000118743628
0.05627366900444031,0.15883469581604004,0.04387170821428299,0.12958115339279175,0.2658046782016754,0.117377370595932,0.0002500000118743628
0.057230640202760696,0.16084015369415283,0.04499652609229088,0.12881700694561005,0.2627318501472473,0.11659274250268936,0.0002500000118743628
0.056530412286520004,0.1601988673210144,0.04436488449573517,0.13270777463912964,0.26757869124412537,0.12073256075382233,0.0002500000118743628
0.05632201209664345,0.1595301479101181,0.04427384212613106,0.13635611534118652,0.27617964148521423,0.12436266988515854,0.0002500000118743628
0.055854056030511856,0.15858858823776245,0.044009510427713394,0.1290379762649536,0.2658965587615967,0.1172838807106018,0.0002500000118743628
0.05562884360551834,0.15892952680587769,0.043923698365688324,0.13122546672821045,0.26969659328460693,0.11957656592130661,0.0002500000118743628
0.05535726994276047,0.15928709506988525,0.04372759535908699,0.12620489299297333,0.26478177309036255,0.11456584185361862,0.0002500000118743628
0.05522423982620239,0.1584743857383728,0.04357979819178581,0.1388556808233261,0.2774761915206909,0.1272808462381363,0.0002500000118743628
0.053891055285930634,0.15692701935768127,0.04253841191530228,0.13804470002651215,0.27821484208106995,0.12683923542499542,0.0001250000059371814
0.0536465123295784,0.15636920928955078,0.04250876232981682,0.13396020233631134,0.2714223861694336,0.1228862777352333,0.0001250000059371814
0.05346642807126045,0.15592235326766968,0.042485885322093964,0.13216033577919006,0.27146825194358826,0.12126342952251434,0.0001250000059371814
0.05151883885264397,0.1533532738685608,0.04070570319890976,0.13579122722148895,0.2758671045303345,0.12507984042167664,0.0001250000059371814
0.05244795233011246,0.1546100229024887,0.04174474626779556,0.13652700185775757,0.2739778459072113,0.1258373111486435,0.0001250000059371814
